Data,Vendedor,Cliente,Região,Produto,Valor
43466,Paulo,Thamires Bastos,Sudeste,Python,450
43466,Paulo,Jessika Mineiro,Centro-Oeste,Excel,500
43467,Diego,Glenda Jalles,Norte,VBA,600
43467,Diego,Eugênio Mattos,Sul,Python,450
43467,Alon,Yasmine Gomes,Norte,VBA,600
43467,Diego,Lázaro Vilhena,Norte,Word,500
43467,Alon,Rojane Nemitz,Sudeste,Word,600
43467,Diego,Micaele Ferrer,Sudeste,Word,500
43468,Alon,Igor Flavio,Sudeste,Word,600
43468,Gabriel,Wesley Medeiros,Nordeste,Power BI,450
43468,João,Beatriz Costa,Centro-Oeste,Python,450
43469,Gabriel,Marisol Mendes,Sul,VBA,600
43470,João,Suelen Aguiar,Nordeste,Excel,500
43470,Paulo,John Nemitz,Sul,Word,600
43470,Diego,Hannah Francisca,Nordeste,Python,450
43471,Marcus,Cleo Fragoso,Centro-Oeste,VBA,600
43471,Diego,Helen Iris,Centro-Oeste,VBA,600
43472,Gabriel,Glaucia Cesar,Sudeste,Power BI,300
43472,Alon,Maurício Balassiano,Sudeste,Power BI,300
43472,Diego,Ysabella Cassabian,Sudeste,Excel,500
43472,Paulo,Thadeu Costa,Sudeste,VBA,600
43473,João,Giuseppe Menezes,Norte,Power BI,450
43473,João,Roberto Kranz,Centro-Oeste,Power BI,500
43473,Paulo,Joao Tkotz,Sudeste,Power BI,600
43474,Paulo,Leandro Baptista,Sudeste,Power BI,500
43474,Gabriel,Tatiane Macedo,Nordeste,Power BI,450
43475,Gabriel,Andreza Marques,Sul,Power BI,600
43475,Gabriel,Manuela Firmo,Norte,Power BI,600
43475,Gabriel,Sarah Palha,Sudeste,Power BI,300
43475,Gabriel,David Carelli,Norte,Power BI,500
43475,Alon,Taila Azevedo,Norte,Power BI,450
43475,Diego,Murilo Dória,Sudeste,Power BI,600
43476,Diego,Christiana Messias,Sudeste,Power BI,450
43476,Paulo,Sandra Lana,Centro-Oeste,Excel,500
43476,Alon,Joyce Valle,Sul,Python,450
43476,João,Laiza Carneiro,Nordeste,Excel,500
43476,Gabriel,Raquel Yudi,Centro-Oeste,VBA,600
43476,Alon,Cassia Ahnert,Norte,Excel,500
43477,Gabriel,Cecília Blumgrund,Nordeste,VBA,600
43478,Gabriel,Karine Nuñez,Norte,Excel,500
43478,Diego,Diogo Bandeira,Sul,VBA,600
43478,Diego,Barbara Emmerick,Norte,Power BI,300
43478,Diego,Ingra Penedo,Norte,VBA,600
43478,Gabriel,Liz Carolina,Sul,PowerPoint,450
43478,Gabriel,Valmir Tsuyoshi,Norte,VBA,600
43478,Diego,Thomaz Bello,Norte,Excel,500
43479,João,Gabrielle Silva,Sudeste,VBA,600
43479,Gabriel,Samuel Lucas,Sudeste,Excel,500
43479,Gabriel,Cláudia Rey,Nordeste,Excel,500
43479,Paulo,Adrian Farias,Nordeste,Python,450
43480,Alon,David Rey,Norte,VBA,600
43480,Diego,Maryanna Magalhães,Norte,Power BI,300
43481,Gabriel,Gabriel Hudson,Sul,Python,450
43481,Paulo,Arnôr Bogossian,Centro-Oeste,Python,450
43481,Alon,Laiza Sofia,Nordeste,Power BI,300
43481,Paulo,Marcus Fogacia,Norte,Python,450
43482,Paulo,Helvio Lopes,Sudeste,VBA,600
43482,Gabriel,Isabela Miura,Nordeste,Power BI,300
43482,João,Luíza Batista,Nordeste,VBA,600
43483,Diego,Ruan Arslanian,Norte,Power BI,300
43483,Alon,Jeferson Magalhães,Centro-Oeste,Power BI,300
43483,Alon,Luíza Chein,Sul,Excel,500
43483,Diego,Thais Russo,Sul,VBA,600
43483,Gabriel,Alexia Côrte-Real,Nordeste,Excel,500
43483,Diego,Millena Costa,Sul,VBA,600
43484,Alon,Christiana Baptista,Nordeste,Excel,500
43484,Gabriel,Samuel Azevedo,Norte,Power BI,300
43484,Diego,Dayane Yudi,Nordeste,PowerPoint,300
43484,Gabriel,Guilherme Hejda,Sul,PowerPoint,450
43484,João,Rebecca Rosales,Sul,PowerPoint,300
43484,Alon,Leon Domingues,Norte,Excel,500
43485,Alon,Haroldo Carolina,Norte,Excel,500
43485,Diego,Olívia Freire,Sudeste,PowerPoint,450
43485,Alon,Andressa Costantas,Norte,PowerPoint,300
43485,Alon,Priscila Dourado,Norte,PowerPoint,450
43487,João,Sandro Menezes,Sudeste,VBA,600
43487,Alon,Thamires Neviani,Norte,Excel,500
43487,Gabriel,José Barroso,Sul,PowerPoint,450
43488,Gabriel,Maurício Brasil,Centro-Oeste,PowerPoint,300
43488,Gabriel,Marcus Temporal,Nordeste,PowerPoint,450
43488,Alon,Kassia Teles,Sul,Power BI,300
43488,Alon,Andressa Alves,Sudeste,Excel,500
43490,Gabriel,Ylana Júnior,Sudeste,Power BI,600
43490,Alon,Alana Tiradentes,Sudeste,Power BI,500
43490,Alon,Marina Bachini,Norte,Power BI,450
43490,João,Elaine Emmerick,Sudeste,Power BI,450
43490,Paulo,Luíza Faller,Centro-Oeste,Power BI,300
43490,Marcus,Luan Barroso,Sudeste,Power BI,300
43491,Marcus,Luana Tavares,Sul,VBA,600
43491,João,Platini Blanc,Norte,Python,450
43492,Diego,Sandy Abi-Ramia,Sudeste,Excel,500
43492,Paulo,Thomaz Akerman,Sudeste,Python,450
43492,Marcus,Luana Abranches,Nordeste,Python,450
43492,Paulo,Victória Osman,Nordeste,Power BI,300
43492,Diego,Vívian Sayuri,Sul,Power BI,300
43492,Marcus,Wagner Godinho,Nordeste,Word,600
43492,Gabriel,Arnaldo Jiun,Sudeste,Word,500
43492,Marcus,Thauan Li,Norte,Word,600
43493,Paulo,Thales Cardoso,Sudeste,Power BI,300
43493,Paulo,Silvio Sant'Anna,Sudeste,Word,500
43493,Alon,Luiza Helena,Nordeste,Python,450
43493,Diego,Thayná Fioravante,Norte,Power BI,300
43494,Diego,Breno Portillo,Sudeste,Word,500
43494,Marcus,Bruno Vannier,Norte,Power BI,300
43494,Gabriel,Jeter Brandão,Norte,Power BI,300
43494,Marcus,Gianluca Póvoa,Sudeste,Word,600
43494,Alon,Samuel Ana,Norte,Power BI,300
43495,Alon,Hygor Souza,Nordeste,Power BI,300
43496,João,Mateus Victório,Sul,Python,450
43496,Marcus,Ary Capitulo,Sudeste,Word,500
43496,Paulo,Micaele Amorim,Sudeste,Word,500
43496,Alon,Valentina Costainara,Sudeste,Word,500
43497,Alon,Alexsandro Mainente,Sudeste,Word,500
43497,Alon,Emilaine Silotti,Sudeste,Word,500
43497,Marcus,Katarine Titonelli,Norte,Power BI,300
43497,Marcus,Ariel Miranda,Sul,Word,600
43498,Alon,Alexsandro Tiradentes,Sudeste,Word,500
43498,Paulo,Ericka Teles,Norte,Power BI,300
43498,Marcus,Karollayne Yudi,Sudeste,Word,600
43499,Marcus,José Lencastre,Centro-Oeste,Power BI,300
43499,Marcus,Alfredo Viana,Sudeste,Word,600
43499,Gabriel,Lucas Borowicz,Sudeste,Power BI,300
43500,Gabriel,Filippo Carvalho,Sul,Power BI,300
43500,Alon,Tayna Sodré,Nordeste,Word,600
43500,João,Andreza Balbi,Sudeste,Word,600
43501,Gabriel,Marco Benvinda,Nordeste,Python,450
43501,Alon,Thayza Maria,Norte,Power BI,300
43501,João,Thaís Piero,Nordeste,Python,450
43501,Alon,Caroll Lencastre,Centro-Oeste,Power BI,300
43502,Diego,Saranna Barros,Sul,Python,450
43502,Marcus,Ricardo Lund,Centro-Oeste,Word,600
43503,Alon,Karoline Lopes,Sudeste,Word,500
43503,Marcus,Patricia Ontiveros,Sudeste,Word,600
43504,Gabriel,Marcos Vargas,Norte,Word,500
43505,Alon,Hanna Coimbra,Norte,Word,600
43505,Alon,Giuseppe Alves,Sul,Word,500
43507,Gabriel,Helvio Baptista,Sul,Power BI,300
43507,Marcus,Jonnathan Infante,Norte,Word,500
43507,Gabriel,Carolina Garambone,Centro-Oeste,Word,500
43508,Marcus,Jamile Frossard,Sul,Word,600
43508,Alon,Célio Fioretti,Nordeste,Word,600
43508,Alon,Barbara Marcolini,Sul,Word,600
43508,Marcus,Rodney Thadeu,Nordeste,Python,450
43508,Marcus,Isaac Novarino,Sul,Power BI,300
43509,Gabriel,Jéssica Bitencourt,Sudeste,Word,600
43509,Gabriel,Tayla Aragão,Sudeste,Word,600
43509,João,Ruan Rabelo,Norte,Word,500
43509,Diego,Giovanni Azeredo,Nordeste,Power BI,300
43509,Gabriel,Thamirez Coimbra,Norte,Word,600
43510,Gabriel,Sebastião Vasconcelos,Sudeste,Word,600
43510,Marcus,Ângelo Suzano,Centro-Oeste,Python,450
43510,Alon,Leticia Ladogano,Centro-Oeste,Word,500
43510,Paulo,Cynthia Silveira,Nordeste,Power BI,300
43511,João,Samantha Bello,Centro-Oeste,Python,450
43511,Paulo,Bernard Silvestre,Nordeste,Power BI,300
43511,Gabriel,Cecília Barros,Sul,Word,500
43512,Gabriel,Luize Nobili,Nordeste,Word,500
43513,Gabriel,Jéssica Carelli,Sudeste,Word,600
43513,Diego,Vicente Gabrielen,Norte,Python,450
43514,Alon,Júlia Iris,Sul,Word,500
43514,Alon,Tomas Cassabian,Norte,Power BI,300
43514,Gabriel,Marcos Costalforne,Norte,Word,600
43515,Alon,Katherine Andrade,Norte,Python,450
43515,Paulo,Jamile Póvoa,Norte,Word,500
43515,Gabriel,Bernardo Maria,Nordeste,Word,500
43515,Paulo,Jefferson Silvestre,Sudeste,Python,450
43516,Alon,Nathalya Pessoa,Norte,Python,450
43516,Marcus,Marianne Bogossian,Sudeste,Word,600
43516,Paulo,Jose Salomão,Norte,Word,600
43516,Paulo,Adrizia Valiate,Norte,Power BI,300
43516,Alon,Gabriella Macedo,Sul,Word,500
43516,João,Cláudio Sampaio,Nordeste,Python,450
43517,Alon,Thomas Marcio,Centro-Oeste,Power BI,300
43518,Marcus,Frederico Nunes,Centro-Oeste,Python,450
43518,Alon,Marcus Vargas,Sudeste,Word,600
43518,Gabriel,Francyne Baptista,Sudeste,Power BI,300
43519,João,Yasser Scaldini,Centro-Oeste,Python,450
43520,Gabriel,Taís Freire,Norte,Power BI,300
43520,Diego,Mauricio Gabrielle,Sul,Python,450
43520,Alon,Rubyson Francisca,Norte,Word,500
43521,Alon,Isabella Maria,Sudeste,Word,600
43521,Marcus,Aledio Provenzano,Nordeste,Power BI,300
43521,João,Raísa Tiradentes,Norte,Power BI,300
43521,Marcus,Alfredo Flôr,Norte,Power BI,300
43522,Alon,Izabel Mateus,Centro-Oeste,Word,500
43522,Alon,Sarah Gabrielle,Nordeste,Word,500
43522,Paulo,Luísa Barrionuevo,Nordeste,Power BI,300
43523,Diego,Marcus Macedo,Norte,Power BI,300
43523,Diego,Julyana Carmo,Nordeste,Python,450
43523,João,Christiane Póvoa,Norte,Word,500
43523,João,Miguel Ramos,Sul,Python,450
43523,João,Artur Reis,Sul,Word,600
43523,Diego,Laura Corrêa,Norte,Power BI,300
43524,Alon,Talline Bittencourt,Centro-Oeste,Python,450
43524,Diego,Daniel Smolarek,Norte,Power BI,300
43524,Diego,Adrian Cezar,Nordeste,Power BI,300
43524,Paulo,Cristina Antônio,Sudeste,Word,600
43524,Gabriel,Thales Iris,Nordeste,Word,500
43525,Paulo,Jessica Messias,Nordeste,Word,500
43525,Gabriel,Yasser Yudi,Centro-Oeste,Python,450
43525,João,Leonardo Carmo,Nordeste,Word,450
43526,Diego,Leandro Gerhad,Sul,Word,300
43526,Gabriel,Bruna Domingues,Sudeste,Word,450
43526,Diego,Cláudia Monte,Nordeste,Word,450
43526,Marcus,Thamires Souza,Centro-Oeste,Word,450
43527,Paulo,Walmyr Said,Centro-Oeste,Word,450
43527,Diego,Platini Barreira,Sudeste,Word,500
43527,Paulo,Mirian Fagundes,Nordeste,Word,450
43527,Diego,Francisco Gomes,Sul,Word,600
43527,Paulo,Christian Vargas,Norte,Word,450
43528,João,Carolina Francisco,Norte,Word,450
43528,João,Livia Andréa,Centro-Oeste,Word,450
43529,Gabriel,Vinicius Nemitz,Sudeste,Python,450
43529,Diego,Jo?o Andréa,Sudeste,Power BI,300
43529,Diego,Ester Paulo,Sul,Power BI,300
43529,Diego,Cecília dos,Sudeste,Word,600
43530,Diego,Isadora Whitaker,Nordeste,Power BI,300
43530,João,Renan Henrique,Centro-Oeste,Python,450
43530,Gabriel,Gabriel Marques,Sudeste,Word,600
43531,João,Sara Corrêa,Sudeste,Excel,500
43532,Alon,Drielly Brendalina,Nordeste,Excel,500
43532,Alon,Taila Suzano,Norte,Python,450
43533,Alon,Renata Paulino,Sudeste,VBA,600
43533,Alon,Nathalie Galera,Norte,Excel,500
43534,Marcus,Karollayne Reyna,Sul,Python,450
43534,Alon,Mônica Silvestre,Norte,VBA,600
43534,Marcus,Nathalya Pinto,Sudeste,VBA,600
43534,Alon,Yasmine Pacheco,Sudeste,Excel,500
43535,Alon,Alan Hudson,Centro-Oeste,Excel,500
43535,Alon,Marcus Florêncio,Norte,VBA,600
43535,Marcus,Cláudia Freixo,Sudeste,Excel,500
43536,Marcus,Manuela Carvalhal,Sul,Python,450
43537,Diego,Karina Magalhaes,Norte,Excel,500
43538,Diego,Fabiano Silvagasperi,Norte,Power BI,300
43538,Marcus,Samir Faller,Sudeste,VBA,600
43538,Diego,Karoliny Kranz,Nordeste,Power BI,300
43538,Marcus,Willian Ontiveros,Norte,Excel,500
43538,Paulo,Ingra Bogossian,Nordeste,Excel,500
43538,Marcus,Fellipe Gallo,Centro-Oeste,Python,450
43538,Diego,Suelen Hermsdorff,Centro-Oeste,Python,450
43538,Marcus,Jessica Ferreira,Centro-Oeste,VBA,600
43538,João,Izabella Flôr,Centro-Oeste,Power BI,300
43539,Marcus,Raísa Tavares,Sudeste,VBA,600
43539,Marcus,Francyne Cavalcanti,Nordeste,Excel,500
43539,Marcus,Ariel Vinicius,Nordeste,Power BI,300
43539,Marcus,Eriko Titonelli,Centro-Oeste,Power BI,300
43539,Gabriel,Edson Jalles,Norte,Excel,500
43539,Gabriel,Lorena Ávila,Centro-Oeste,Python,450
43539,Alon,Rojane Cristine,Nordeste,Power BI,300
43539,João,Marjorie Cesar,Sudeste,Python,450
43539,Alon,Murilo Balassiano,Sul,Python,450
43540,João,Taila Dourado,Centro-Oeste,Python,450
43541,Alon,Olívia Fontenelle,Centro-Oeste,Excel,500
43541,Alon,Giovanna Catarino,Sul,Python,450
43541,Marcus,Davi Titonelli,Centro-Oeste,VBA,600
43541,Alon,Ivana Braga,Norte,Python,450
43542,Paulo,Érica Infante,Sudeste,Python,450
43542,Marcus,Roger Silva,Sul,VBA,600
43544,Gabriel,Ingra Garambone,Norte,Power BI,300
43544,Alon,Constantino Santana,Norte,Power BI,300
43545,Paulo,Thainá José,Norte,Power BI,300
43545,Gabriel,Samuel Vilas,Sudeste,Word,600
43545,Alon,Thomaz Novarino,Sul,Power BI,300
43545,Alon,Nicholas Cristine,Sul,Power BI,300
43546,Diego,Gisely Abramovitz,Norte,Power BI,300
43546,Diego,Tiago Yosef,Centro-Oeste,Python,450
43546,João,Stefan Silvestre,Sudeste,Word,500
43546,Marcus,Alecssander Navega,Nordeste,Word,500
43547,Diego,Maurício Gama,Centro-Oeste,Python,450
43547,Gabriel,Ana Nemitz,Nordeste,Word,500
43548,Gabriel,Elana Domingues,Nordeste,Python,450
43548,Gabriel,Tainara Barberini,Sudeste,Power BI,300
43548,Gabriel,Ary Costalforne,Centro-Oeste,Word,600
43549,Diego,Jessica Penedo,Sudeste,Word,600
43549,Alon,Paula Santos,Norte,Word,500
43550,Paulo,Thomas Brendalina,Sul,Power BI,300
43550,Diego,Venan Bernardo,Sul,Power BI,300
43550,Paulo,Eugênio Mosqueira,Sudeste,Word,600
43551,Gabriel,Eduardo Thadeu,Sul,Python,450
43551,Diego,Beatriz Miguel,Norte,Word,500
43551,Gabriel,Nicholas Gouvêa,Norte,Python,450
43552,Gabriel,Julia Tassara,Sul,Power BI,300
43552,Alon,Hércules Fernando,Centro-Oeste,Word,500
43553,Diego,Tiago Barrionuevo,Sudeste,Word,600
43553,Diego,Lucca Lobo,Nordeste,Word,500
43553,Alon,Wendela Magalhães,Norte,Word,500
43553,João,Luã Comas,Norte,Power BI,300
43554,Gabriel,Millena Malher,Norte,Word,600
43554,Alon,Allan Yen,Sudeste,Power BI,300
43554,Diego,Kim Ronfini,Nordeste,Word,500
43554,Gabriel,Anderson Perim,Norte,Python,450
43554,Alon,Gleydson Mendonça,Nordeste,Power BI,300
43554,Paulo,Lucca Nogueira,Nordeste,VBA,600
43555,Gabriel,Thomáz Pires,Sul,Power BI,300
43555,Alon,Domenik Faller,Centro-Oeste,Python,450
43556,Alon,Thaís Rubinstein,Norte,Power BI,300
43556,Gabriel,Ylana Lopez,Sudeste,VBA,600
43557,Gabriel,Leon Caldana,Sudeste,VBA,600
43557,Paulo,Alberto Yumi,Norte,Python,450
43558,Paulo,Michelle Cassabian,Sudeste,VBA,600
43559,João,Patrícia Cavalca,Norte,Power BI,300
43559,Gabriel,Zilma Cromwell,Norte,VBA,600
43559,Paulo,Julia Pinto,Nordeste,Excel,500
43560,João,Thadeu Melo,Sul,Power BI,300
43560,Diego,Thaina Goldoni,Norte,VBA,600
43560,Alon,Jade Frossard,Sudeste,VBA,600
43560,Gabriel,Tadeu Bastos,Sudeste,VBA,600
43561,Gabriel,Sandro Yen,Sudeste,Excel,500
43561,Gabriel,Maciela Nuñez,Centro-Oeste,VBA,600
43561,João,Hygor Hippertt,Nordeste,Excel,500
43561,João,Lara Coelho,Sudeste,VBA,600
43562,João,Alex Mercês,Centro-Oeste,Python,450
43562,João,Raiza Villela,Nordeste,Python,450
43562,Gabriel,Liz Vinicius,Sul,Excel,500
43562,Alon,Iris Cassabian,Sudeste,Excel,500
43562,Alon,Maryanna Rosales,Norte,Power BI,300
43563,Paulo,Diogo Coutinho,Sudeste,VBA,600
43563,Diego,Rômulo Fecha,Sul,VBA,600
43563,Alon,Raiane Eduardo,Norte,Python,450
43564,Alon,Samir Fernando,Norte,Python,450
43564,Gabriel,Vitória Neviani,Centro-Oeste,Python,450
43564,Gabriel,Edgard Sergio,Centro-Oeste,Power BI,300
43564,Gabriel,Igor Lopes,Norte,Power BI,300
43565,Gabriel,Millena Maria,Sudeste,Power BI,300
43565,João,Amanda Sone,Centro-Oeste,Python,450
43566,Gabriel,Wellington Tsuyoshi,Sul,Python,450
43566,Alon,Paulo Rosolia,Sul,Excel,500
43566,Alon,Izabella César,Sul,Python,450
43566,Alon,Alex Fróes,Centro-Oeste,VBA,600
43566,Gabriel,Hannah Hudson,Centro-Oeste,Python,450
43568,Paulo,Vívian Clara,Nordeste,Python,450
43569,Gabriel,Evelyn Benvinda,Norte,VBA,600
43569,Diego,Davi Rubim,Sudeste,Python,450
43569,Paulo,Julia Cossich,Norte,VBA,600
43569,Gabriel,Tácio Yehudah,Norte,Power BI,300
43570,Paulo,Cassandra Monte,Sudeste,Python,450
43571,Paulo,José Stellet,Norte,Excel,500
43571,Marcus,Kallena Madeira,Centro-Oeste,Power BI,300
43571,Marcus,Sebastião Augusto,Norte,Power BI,300
43571,Marcus,Luana Paula,Nordeste,Excel,500
43572,Gabriel,Enrico Spata,Nordeste,Python,450
43572,Diego,Athos Luiza,Nordeste,Excel,500
43572,Gabriel,Michel Cruz,Sudeste,VBA,600
43572,Paulo,Lara Gouveia,Sul,Python,450
43572,Alon,Domenik Rotava,Sudeste,Excel,500
43572,João,Daniella Ferreira,Norte,Python,450
43572,Paulo,Raquel Vilachã,Norte,VBA,600
43573,Gabriel,Lázaro Fragoso,Norte,VBA,600
43573,Alon,Millena Paes,Centro-Oeste,Excel,500
43573,Alon,Rafael Gouvêa,Sul,Excel,500
43574,Alon,Daniel Bachini,Centro-Oeste,Power BI,300
43574,João,Flávio Corrêa,Nordeste,Power BI,300
43574,João,Raiane Lencastre,Nordeste,Excel,500
43574,Paulo,Julliana Cabral,Sudeste,VBA,600
43574,Paulo,Rhanna Neiva,Sul,Python,450
43575,João,Micaele Mathias,Centro-Oeste,Excel,500
43576,Alon,Julliana Magalhaes,Sudeste,Excel,500
43576,Gabriel,Walter Carvalhal,Sul,Power BI,300
43577,Alon,Dayane Kranz,Centro-Oeste,VBA,600
43577,Paulo,Antonio Borba,Sudeste,Excel,500
43577,Paulo,Sylvia Siqueira,Norte,Excel,500
43577,Diego,Luiza Priscilla,Norte,Excel,500
43577,Diego,Alex Moura,Norte,VBA,600
43578,Gabriel,Christian Moraes,Nordeste,Python,450
43578,Diego,Ighor Jundi,Nordeste,Python,450
