Data;Ano;Mês;Vendedor;Cliente;Região;Produto;Valor
01/01/2019;2019;jan;Paulo;Thamires Bastos;Sudeste;Python;R$ 450,00
01/01/2019;2019;jan;Paulo;Jessika Mineiro;Centro-Oeste;Excel;R$ 500,00
02/01/2019;2019;jan;Diego;Glenda Jalles;Norte;VBA;R$ 600,00
02/01/2019;2019;jan;Diego;Eugênio Mattos;Sul;Python;R$ 450,00
02/01/2019;2019;jan;Alon;Yasmine Gomes;Norte;VBA;R$ 600,00
02/01/2019;2019;jan;Diego;Lázaro Vilhena;Norte;Word;R$ 500,00
02/01/2019;2019;jan;Alon;Rojane Nemitz;Sudeste;Word;R$ 600,00
02/01/2019;2019;jan;Diego;Micaele Ferrer;Sudeste;Word;R$ 500,00
03/01/2019;2019;jan;Alon;Igor Flavio;Sudeste;Word;R$ 600,00
03/01/2019;2019;jan;Gabriel;Wesley Medeiros;Nordeste;Power BI;R$ 450,00
03/01/2019;2019;jan;João;Beatriz da;Centro-Oeste;Python;R$ 450,00
04/01/2019;2019;jan;Gabriel;Marisol Mendes;Sul;VBA;R$ 600,00
05/01/2019;2019;jan;João;Suelen Aguiar;Nordeste;Excel;R$ 500,00
05/01/2019;2019;jan;Paulo;John Nemitz;Sul;Word;R$ 600,00
05/01/2019;2019;jan;Diego;Hannah Francisca;Nordeste;Python;R$ 450,00
06/01/2019;2019;jan;Marcus;Cleo Fragoso;Centro-Oeste;VBA;R$ 600,00
06/01/2019;2019;jan;Diego;Helen Iris;Centro-Oeste;VBA;R$ 600,00
07/01/2019;2019;jan;Gabriel;Glaucia Cesar;Sudeste;Power BI;R$ 300,00
07/01/2019;2019;jan;Alon;Maurício Balassiano;Sudeste;Power BI;R$ 300,00
07/01/2019;2019;jan;Diego;Ysabella Cassabian;Sudeste;Excel;R$ 500,00
07/01/2019;2019;jan;Paulo;Thadeu da;Sudeste;VBA;R$ 600,00
08/01/2019;2019;jan;João;Giuseppe Menezes;Norte;Power BI;R$ 450,00
08/01/2019;2019;jan;João;Roberto Kranz;Centro-Oeste;Power BI;R$ 500,00
08/01/2019;2019;jan;Paulo;Joao Tkotz;Sudeste;Power BI;R$ 600,00
09/01/2019;2019;jan;Paulo;Leandro Baptista;Sudeste;Power BI;R$ 500,00
09/01/2019;2019;jan;Gabriel;Tatiane Macedo;Nordeste;Power BI;R$ 450,00
10/01/2019;2019;jan;Gabriel;Andreza Marques;Sul;Power BI;R$ 600,00
10/01/2019;2019;jan;Gabriel;Manuela Firmo;Norte;Power BI;R$ 600,00
10/01/2019;2019;jan;Gabriel;Sarah Palha;Sudeste;Power BI;R$ 300,00
10/01/2019;2019;jan;Gabriel;David Carelli;Norte;Power BI;R$ 500,00
10/01/2019;2019;jan;Alon;Taila Azevedo;Norte;Power BI;R$ 450,00
10/01/2019;2019;jan;Diego;Murilo Dória;Sudeste;Power BI;R$ 600,00
11/01/2019;2019;jan;Diego;Christiana Messias;Sudeste;Power BI;R$ 450,00
11/01/2019;2019;jan;Paulo;Sandra Lana;Centro-Oeste;Excel;R$ 500,00
11/01/2019;2019;jan;Alon;Joyce Valle;Sul;Python;R$ 450,00
11/01/2019;2019;jan;João;Laiza Carneiro;Nordeste;Excel;R$ 500,00
11/01/2019;2019;jan;Gabriel;Raquel Yudi;Centro-Oeste;VBA;R$ 600,00
11/01/2019;2019;jan;Alon;Cassia Ahnert;Norte;Excel;R$ 500,00
12/01/2019;2019;jan;Gabriel;Cecília Blumgrund;Nordeste;VBA;R$ 600,00
13/01/2019;2019;jan;Gabriel;Karine Nuñez;Norte;Excel;R$ 500,00
13/01/2019;2019;jan;Diego;Diogo Bandeira;Sul;VBA;R$ 600,00
13/01/2019;2019;jan;Diego;Barbara Emmerick;Norte;Power BI;R$ 300,00
13/01/2019;2019;jan;Diego;Ingra Penedo;Norte;VBA;R$ 600,00
13/01/2019;2019;jan;Gabriel;Liz Carolina;Sul;PowerPoint;R$ 450,00
13/01/2019;2019;jan;Gabriel;Valmir Tsuyoshi;Norte;VBA;R$ 600,00
13/01/2019;2019;jan;Diego;Thomaz Bello;Norte;Excel;R$ 500,00
14/01/2019;2019;jan;João;Gabrielle de;Sudeste;VBA;R$ 600,00
14/01/2019;2019;jan;Gabriel;Samuel Lucas;Sudeste;Excel;R$ 500,00
14/01/2019;2019;jan;Gabriel;Cláudia Rey;Nordeste;Excel;R$ 500,00
14/01/2019;2019;jan;Paulo;Adrian Farias;Nordeste;Python;R$ 450,00
15/01/2019;2019;jan;Alon;David Rey;Norte;VBA;R$ 600,00
15/01/2019;2019;jan;Diego;Maryanna Magalhães;Norte;Power BI;R$ 300,00
16/01/2019;2019;jan;Gabriel;Gabriel Hudson;Sul;Python;R$ 450,00
16/01/2019;2019;jan;Paulo;Arnôr Bogossian;Centro-Oeste;Python;R$ 450,00
16/01/2019;2019;jan;Alon;Laiza Sofia;Nordeste;Power BI;R$ 300,00
16/01/2019;2019;jan;Paulo;Marcus Fogacia;Norte;Python;R$ 450,00
17/01/2019;2019;jan;Paulo;Helvio Lopes;Sudeste;VBA;R$ 600,00
17/01/2019;2019;jan;Gabriel;Isabela Miura;Nordeste;Power BI;R$ 300,00
17/01/2019;2019;jan;João;Luíza Batista;Nordeste;VBA;R$ 600,00
18/01/2019;2019;jan;Diego;Ruan Arslanian;Norte;Power BI;R$ 300,00
18/01/2019;2019;jan;Alon;Jeferson Magalhães;Centro-Oeste;Power BI;R$ 300,00
18/01/2019;2019;jan;Alon;Luíza Chein;Sul;Excel;R$ 500,00
18/01/2019;2019;jan;Diego;Thais Russo;Sul;VBA;R$ 600,00
18/01/2019;2019;jan;Gabriel;Alexia Côrte-Real;Nordeste;Excel;R$ 500,00
18/01/2019;2019;jan;Diego;Millena da;Sul;VBA;R$ 600,00
19/01/2019;2019;jan;Alon;Christiana Baptista;Nordeste;Excel;R$ 500,00
19/01/2019;2019;jan;Gabriel;Samuel Azevedo;Norte;Power BI;R$ 300,00
19/01/2019;2019;jan;Diego;Dayane Yudi;Nordeste;PowerPoint;R$ 300,00
19/01/2019;2019;jan;Gabriel;Guilherme Hejda;Sul;PowerPoint;R$ 450,00
19/01/2019;2019;jan;João;Rebecca Rosales;Sul;PowerPoint;R$ 300,00
19/01/2019;2019;jan;Alon;Leon Domingues;Norte;Excel;R$ 500,00
20/01/2019;2019;jan;Alon;Haroldo Carolina;Norte;Excel;R$ 500,00
20/01/2019;2019;jan;Diego;Olívia Freire;Sudeste;PowerPoint;R$ 450,00
20/01/2019;2019;jan;Alon;Andressa Dantas;Norte;PowerPoint;R$ 300,00
20/01/2019;2019;jan;Alon;Priscila Dourado;Norte;PowerPoint;R$ 450,00
22/01/2019;2019;jan;João;Sandro Menezes;Sudeste;VBA;R$ 600,00
22/01/2019;2019;jan;Alon;Thamires Neviani;Norte;Excel;R$ 500,00
22/01/2019;2019;jan;Gabriel;José Barroso;Sul;PowerPoint;R$ 450,00
23/01/2019;2019;jan;Gabriel;Maurício Brasil;Centro-Oeste;PowerPoint;R$ 300,00
23/01/2019;2019;jan;Gabriel;Marcus Temporal;Nordeste;PowerPoint;R$ 450,00
23/01/2019;2019;jan;Alon;Kassia Teles;Sul;Power BI;R$ 300,00
23/01/2019;2019;jan;Alon;Andressa Alves;Sudeste;Excel;R$ 500,00
25/01/2019;2019;jan;Gabriel;Ylana Júnior;Sudeste;Power BI;R$ 600,00
25/01/2019;2019;jan;Alon;Alana Tiradentes;Sudeste;Power BI;R$ 500,00
25/01/2019;2019;jan;Alon;Marina Bachini;Norte;Power BI;R$ 450,00
25/01/2019;2019;jan;João;Elaine Emmerick;Sudeste;Power BI;R$ 450,00
25/01/2019;2019;jan;Paulo;Luíza Faller;Centro-Oeste;Power BI;R$ 300,00
25/01/2019;2019;jan;Marcus;Luan Barroso;Sudeste;Power BI;R$ 300,00
26/01/2019;2019;jan;Marcus;Luana Tavares;Sul;VBA;R$ 600,00
